filename,size_mb
1301.3781v3.pdf,0.22
1312.5602v1.pdf,0.46
1412.6980v9.pdf,0.56
15-237.pdf,0.28
1511.06434v2.pdf,7.11
1602.04938v3.pdf,4.1
1602.05629v4.pdf,1.25
1603.09320v4.pdf,2.51
1604.07316v1.pdf,1.23
1606.06565v2.pdf,0.46
1606.07792v1.pdf,0.39
1609.02907v4.pdf,0.83
1708.05031v2.pdf,1.45
1709.05067v1.pdf,0.76
1710.10903v3.pdf,1.56
1711.09883v2.pdf,1.85
1802.03268v2.pdf,0.42
1802.05799v3.pdf,0.64
1802.07228v2.pdf,1.37
1806.09055v2.pdf,0.61
1808.00177v5.pdf,4.38
1812.08434v6.pdf,3.18
1901.02062v1.pdf,0.28
1902.05978v2.pdf,10.17
1907.11692v1.pdf,0.2
1908.00709v6.pdf,2.03
1908.07873v1.pdf,2.37
1908.09635v3.pdf,1.63
1909.11942v6.pdf,0.4
1910.07738v2.pdf,2.06
1910.10045v2.pdf,3.65
1911.06270v2.pdf,1.1
20-074.pdf,0.83
20-1380.pdf,0.24
2005.04353v1.pdf,0.4
2005.06239v2.pdf,2.89
2005.11401v4.pdf,0.84
2006.11239v2.pdf,9.79
2112.10752v2.pdf,38.95
2201.11903v6.pdf,0.85
2203.02155v1.pdf,1.71
2203.15556v1.pdf,5.73
2204.02311v5 (1).pdf,2.59
2204.02311v5.pdf,2.59
2204.06125v1.pdf,40.92
2204.14198v2.pdf,30.12
2205.11487v1.pdf,10.84
2206.08788v1.pdf,2.67
2208.08954v1.pdf,0.53
2210.03629v3.pdf,0.6
2210.07658v2.pdf,8.64
2212.08073v1.pdf,1.99
2301.12597v3.pdf,6.43
2302.04761v1.pdf,0.63
2302.13971v1.pdf,0.69
2303.08774v6.pdf,5.0
2303.18223v19 (1).pdf,5.58
2303.18223v19.pdf,5.58
2305.05665v2.pdf,5.23
2305.10601v2.pdf,0.76
2306.01116v1.pdf,1.08
2306.05685v4.pdf,1.51
2307.03172v3.pdf,0.71
2307.15818v1.pdf,14.94
2309.12288v4.pdf,2.47
2310.01352v4.pdf,2.63
2310.06825v1.pdf,3.58
2310.11511v1.pdf,1.34
2402.08877v2.pdf,0.58
2939672.2939785.pdf,1.37
41378.pdf,0.49
45530.pdf,0.86
582415.582418.pdf,0.42
978-3-030-69978-9_4.pdf,0.38
9780203802878_previewpdf.pdf,0.35
AD1099286.pdf,0.9
A_1010933404324.pdf,0.22
Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf,0.43
Brin98Anatomy.pdf,1.42
CS-TR-3290.pdf,0.19
Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf,1.44
D14-1162.pdf,2.54
Informe-AI-Now.pdf,0.65
MSR-TR-2010-82 (1).pdf,0.16
MSR-TR-2010-82.pdf,0.16
N19-1423.pdf,0.75
NIPS-2012-imagenet-classification-with-deep-convolutional-neural-networks-Paper.pdf,1.35
NIPS-2012-on-triangular-versus-edge-representations-towards-scalable-modeling-of-networks-Paper.pdf,1.13
NIPS-2015-faster-r-cnn-towards-real-time-object-detection-with-region-proposal-networks-Paper.pdf,0.73
NIPS-2017-attention-is-all-you-need-Paper.pdf,0.54
NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf,1.22
OLsurvey.pdf,0.55
Recommender-Systems-[Netflix].pdf,1.48
Redmon_You_Only_Look_CVPR_2016_paper.pdf,1.21
Zaharia.pdf,0.2
ai_drives_final.pdf,0.08
article-p35.pdf,0.3
bergstra12a.pdf,0.69
bjd0423.pdf,1.15
ioffe15.pdf,0.3
irbookonlinereading.pdf,6.58
mapreduce-osdi04.pdf,0.18
nature20230927_AI_and_science.pdf,0.44
osdi16-abadi.pdf,2.14
osdi18-moritz.pdf,5.23
p1792-Akidau.pdf,0.35
s41746-021-00486-5.pdf,0.94
s44163-022-00022-8.pdf,1.58
srivastava14a.pdf,2.74
